age,overall,potential,pace,shooting,passing,dribbling,defending,physic,position,nationality,value_eur
27,93,95,93.0,89.0,86.0,96.0,27.0,63.0,CF,Argentina,100500000.0
29,92,92,93.0,93.0,81.0,91.0,32.0,79.0,"LW, LM",Portugal,79000000.0
30,90,90,93.0,86.0,83.0,92.0,32.0,64.0,"RM, LM, RW",Netherlands,54500000.0
32,90,90,76.0,91.0,81.0,86.0,34.0,86.0,ST,Sweden,52500000.0
30,89,89,75.0,72.0,89.0,91.0,59.0,63.0,"CM, LW",Spain,36000000.0
27,89,91,83.0,87.0,79.0,88.0,42.0,79.0,"ST, CF",Uruguay,49500000.0
30,88,88,74.0,90.0,82.0,83.0,33.0,68.0,ST,Netherlands,40500000.0
29,88,88,61.0,81.0,85.0,82.0,78.0,80.0,"CM, CDM",Germany,39000000.0
31,88,88,89.0,78.0,85.0,92.0,29.0,62.0,LM,France,33000000.0
28,88,88,77.0,86.0,64.0,81.0,40.0,73.0,ST,Colombia,46500000.0
23,88,90,90.0,82.0,84.0,91.0,32.0,64.0,"LM, RM",Belgium,40500000.0
30,87,87,76.0,56.0,84.0,83.0,87.0,67.0,"CDM, RB, CM",Germany,24500000.0
28,87,87,79.0,61.0,71.0,66.0,87.0,82.0,CB,Spain,31500000.0
29,87,87,78.0,57.0,72.0,72.0,90.0,80.0,CB,Brazil,29000000.0
28,87,87,76.0,77.0,86.0,89.0,33.0,57.0,"LM, CAM",Spain,36500000.0
24,87,91,94.0,83.0,83.0,84.0,63.0,81.0,"RM, RW",Wales,39000000.0
28,87,87,76.0,74.0,85.0,89.0,71.0,70.0,"CM, CDM",Croatia,36500000.0
25,87,89,80.0,84.0,74.0,85.0,39.0,78.0,"ST, CF",Poland,44000000.0
34,86,86,66.0,72.0,91.0,85.0,60.0,58.0,CM,Spain,15500000.0
31,86,86,76.0,82.0,81.0,79.0,80.0,90.0,"CM, CDM",Côte d'Ivoire,28500000.0
28,86,86,76.0,87.0,80.0,83.0,44.0,87.0,"ST, CF, CAM",England,40000000.0
28,86,86,73.0,56.0,69.0,67.0,87.0,81.0,CB,Belgium,31500000.0
26,86,87,88.0,86.0,77.0,88.0,28.0,66.0,ST,Argentina,45500000.0
25,86,87,74.0,74.0,86.0,87.0,27.0,58.0,"CAM, LW",Germany,44000000.0
25,86,88,66.0,59.0,75.0,71.0,88.0,78.0,CB,Germany,35500000.0
26,86,88,90.0,79.0,83.0,87.0,57.0,71.0,"CAM, CM, RM",Argentina,45500000.0
25,86,88,91.0,86.0,84.0,86.0,33.0,65.0,"LM, RM, ST, CAM",Germany,40000000.0
24,86,88,81.0,84.0,82.0,80.0,46.0,72.0,"RM, CAM, ST, LM",Germany,39000000.0
22,86,91,90.0,80.0,72.0,92.0,30.0,58.0,LW,Brazil,31000000.0
22,86,92,79.0,80.0,84.0,85.0,40.0,72.0,"CAM, RW",Colombia,35000000.0
30,85,85,86.0,86.0,78.0,87.0,46.0,84.0,"ST, CF",Argentina,21000000.0
26,85,87,84.0,84.0,75.0,82.0,30.0,74.0,ST,France,27000000.0
25,85,86,53.0,61.0,72.0,68.0,84.0,85.0,"CB, CDM, CM",Spain,21000000.0
26,85,86,74.0,75.0,84.0,87.0,31.0,60.0,"CAM, RM",Spain,27000000.0
27,85,87,79.0,83.0,70.0,80.0,41.0,81.0,"ST, RW",Uruguay,25500000.0
25,85,87,82.0,83.0,63.0,79.0,40.0,88.0,ST,Spain,26500000.0
27,85,87,78.0,78.0,80.0,81.0,81.0,83.0,"CM, CDM",Chile,23000000.0
